id,sessionId,stage,LoRA,RAG,Random,T2B,bestClip,LoRA_pred,RAG_pred,Random_pred,T2B_pred,promptId,LoRA_pred_floor,RAG_pred_floor,Random_pred_floor,T2B_pred_floor,LoRA_score,RAG_score,Random_score,T2B_score
1,1,1,0,0,1,0,3,[-0.41  1.66],[2.58 0.  ],[-1.95 -5.36],[3.22 3.73],16,"[-0.5, 1.5]","[2.5, 0.5]","[-1.5, -5.5]","[3.5, 3.5]",0.0,0.0,1.5,0.0
2,1,2,0,0,0,0,5,[-2.03  1.36],[ 3.66 -2.34],[ 1.08 -5.06],[0.  5.4],15,"[-2.5, 1.5]","[3.5, -2.5]","[1.5, -5.5]","[0.5, 5.5]",0.0,0.0,0.0,0.0
3,1,3,1,1,0,0,1,[-0.01  0.19],[2.88 1.56],[5.82 1.25],[4.74 3.07],8,"[-0.5, 0.5]","[2.5, 1.5]","[5.5, 1.5]","[4.5, 3.5]",1.5,1.0,0.0,0.0
4,1,4,0,0,1,0,3,[-1.5   0.09],[ 3.66 -2.34],[3.43 5.94],[-0.  -4.2],3,"[-1.5, 0.5]","[3.5, -2.5]","[3.5, 5.5]","[0.5, -4.5]",0.0,0.0,1.5,0.0
5,1,5,1,0,0,0,1,[-2.09  4.43],[-4.02  3.48],[-0.64  2.5 ],[-3.78 -2.35],9,"[-2.5, 4.5]","[-4.5, 3.5]","[-0.5, 2.5]","[-3.5, -2.5]",1.5,0.0,0.0,0.0
6,1,6,0,0,0,0,5,[0.38 2.18],[-1.86  1.26],[ 2.26 -3.45],[-2.57 -4.09],12,"[0.5, 2.5]","[-1.5, 1.5]","[2.5, -3.5]","[-2.5, -4.5]",0.0,0.0,0.0,0.0
7,1,7,0,1,1,1,5,[ 3.59 -1.69],[-2.34  3.96],[-3.12  1.9 ],[2.81 4.41],10,"[3.5, -1.5]","[-2.5, 3.5]","[-3.5, 1.5]","[2.5, 4.5]",0.0,1.0,1.0,1.0
8,1,8,0,0,0,1,4,[4.34 0.34],[0.18 5.16],[-2.24  1.59],[-3.78 -2.35],22,"[4.5, 0.5]","[0.5, 5.5]","[-2.5, 1.5]","[-3.5, -2.5]",0.0,0.0,0.0,1.5
9,2,1,0,0,0,1,5,[1.64 2.13],[1.86 6.  ],[-2.59 -0.31],[1.96 4.64],13,"[1.5, 2.5]","[1.5, 5.5]","[-2.5, -0.5]","[1.5, 4.5]",0.0,0.0,0.0,1.0
10,1,9,0,0,0,0,5,[3.69 0.11],[-1.32  2.28],[ 0.9  -0.72],[1.64 5.02],5,"[3.5, 0.5]","[-1.5, 2.5]","[0.5, -0.5]","[1.5, 5.5]",0.0,0.0,0.0,0.0
11,2,2,1,0,1,0,5,[5.98 0.19],[2.94 2.64],[3.17 4.38],[2.57 4.09],17,"[5.5, 0.5]","[2.5, 2.5]","[3.5, 4.5]","[2.5, 4.5]",1.0,0.0,1.0,0.0
12,1,10,0,0,0,1,4,[2.16 2.04],[-3.   3.3],[-2.22  3.58],[1.79 4.33],20,"[2.5, 2.5]","[-2.5, 3.5]","[-2.5, 3.5]","[1.5, 4.5]",0.0,0.0,0.0,1.5
13,1,11,0,1,0,0,2,[1.58 0.44],[3.54 4.8 ],[3.82 0.02],[5.1  3.38],25,"[1.5, 0.5]","[3.5, 4.5]","[3.5, 0.5]","[5.5, 3.5]",0.0,1.5,0.0,0.0
14,2,3,0,0,0,0,5,[ 5.31 -4.84],[ 6. -6.],[ 4.97 -1.97],[-3.07 -4.74],11,"[5.5, -4.5]","[5.5, -5.5]","[4.5, -1.5]","[-3.5, -4.5]",0.0,0.0,0.0,0.0
15,1,12,1,1,1,0,5,[-0.44  1.63],[1.14 3.3 ],[-5.86 -3.25],[2.57 4.09],13,"[-0.5, 1.5]","[1.5, 3.5]","[-5.5, -3.5]","[2.5, 4.5]",1.0,1.0,1.0,0.0
16,1,13,0,0,0,0,5,[5.52 1.66],[5.1 5.1],[ 3.55 -3.96],[1.49 4.71],0,"[5.5, 1.5]","[5.5, 5.5]","[3.5, -3.5]","[1.5, 4.5]",0.0,0.0,0.0,0.0
17,2,4,1,0,0,1,5,[3.59 0.11],[2.46 2.88],[ 0.44 -5.15],[-1.1   5.07],4,"[3.5, 0.5]","[2.5, 2.5]","[0.5, -5.5]","[-1.5, 5.5]",1.0,0.0,0.0,1.0
18,1,14,0,0,0,1,4,[ 1.14 -1.64],[3.3  2.88],[-0.06  1.84],[-0.  -4.2],1,"[1.5, -1.5]","[3.5, 2.5]","[-0.5, 1.5]","[0.5, -4.5]",0.0,0.0,0.0,1.5
19,2,5,1,1,1,1,5,[-2.01 -1.44],[-5.   1.5],[ 3.96 -5.21],[-0. -3.],24,"[-2.5, -1.5]","[-4.5, 1.5]","[3.5, -5.5]","[0.5, -2.5]",1.0,1.0,1.0,1.0
20,1,15,1,1,1,1,5,[ 4.27 -1.67],[-2.76  0.  ],[-5.54 -5.02],[3.38 5.1 ],23,"[4.5, -1.5]","[-2.5, 0.5]","[-5.5, -5.5]","[3.5, 5.5]",1.0,1.0,1.0,1.0
21,1,16,0,0,0,0,5,[0.14 2.2 ],[3.54 1.92],[0.63 1.48],[1.64 5.02],28,"[0.5, 2.5]","[3.5, 1.5]","[0.5, 1.5]","[1.5, 5.5]",0.0,0.0,0.0,0.0
22,2,6,0,0,0,0,5,[-1.37  0.2 ],[3.66 0.42],[-0.77 -0.72],[-3.2  -1.94],21,"[-1.5, 0.5]","[3.5, 0.5]","[-0.5, -0.5]","[-3.5, -1.5]",0.0,0.0,0.0,0.0
23,2,7,0,0,0,1,4,[-0.04  1.09],[ 2.34 -0.42],[-5.03  0.72],[-0.  -4.8],3,"[-0.5, 1.5]","[2.5, -0.5]","[-5.5, 0.5]","[0.5, -4.5]",0.0,0.0,0.0,1.5
24,1,17,0,1,0,0,2,[1.   0.07],[-1.56  1.26],[5.2  1.93],[2.57 4.09],18,"[1.5, 0.5]","[-1.5, 1.5]","[5.5, 1.5]","[2.5, 4.5]",0.0,1.5,0.0,0.0
25,2,8,0,0,0,0,5,[-0.14  0.14],[3.3  3.66],[5.8  4.81],[-1.94  3.2 ],29,"[-0.5, 0.5]","[3.5, 3.5]","[5.5, 4.5]","[-1.5, 3.5]",0.0,0.0,0.0,0.0
26,3,1,1,1,0,0,2,[3.69 1.54],[2.58 3.24],[-5.41  3.18],[0.  5.1],18,"[3.5, 1.5]","[2.5, 3.5]","[-5.5, 3.5]","[0.5, 5.5]",1.0,1.5,0.0,0.0
27,1,18,1,0,0,1,1,[0.34 1.81],[-3.54  3.78],[-2.45  1.77],[0.  5.4],26,"[0.5, 1.5]","[-3.5, 3.5]","[-2.5, 1.5]","[0.5, 5.5]",1.5,0.0,0.0,1.0
28,2,9,0,0,0,0,5,[5.54 1.46],[0.78 3.06],[ 1.16 -2.52],[1.21 5.37],28,"[5.5, 1.5]","[0.5, 3.5]","[1.5, -2.5]","[1.5, 5.5]",0.0,0.0,0.0,0.0
29,1,19,1,1,1,1,5,[4.74 0.2 ],[3.3  3.18],[-5.31  5.6 ],[-2.35 -3.78],7,"[4.5, 0.5]","[3.5, 3.5]","[-5.5, 5.5]","[-2.5, -3.5]",1.0,1.0,1.0,1.0
30,1,20,0,0,0,1,4,[-1.33  0.24],[0.18 1.98],[-3.03 -4.32],[-3.07 -4.74],14,"[-1.5, 0.5]","[0.5, 1.5]","[-3.5, -4.5]","[-3.5, -4.5]",0.0,0.0,0.0,1.5
